id,対象日,通貨,レート（終値）,ステーキング申込合計数量,ステーキングキャンセル合計数量,報酬,利益（自社取り分）
1,"2025-02-03","ADA","154","0","0","0.072395","8.811228"
2,"2025-02-08","ADA","154","0","0","0.082115","8.184059"
3,"2025-02-13","ADA","154","0","0","0.056195","8.631449"
4,"2025-02-18","ADA","154","0","0","0.072395","8.485184"
5,"2025-02-19","ADA","154","0","0","0","0.146592"
6,"2025-02-23","ADA","154","0","0","0.082115","8.582802"
7,"2025-02-24","ADA","154","0","0","0","0.146895"
8,"2025-02-28","ADA","154","0","0","0.056195","8.469286"
9,"2025-03-01","ADA","154","0","0","0","0.144966"
10,"2025-03-05","ADA","154","0","0","0.072395","8.418385"
11,"2025-03-10","ADA","147","0","0","0.082115","8.263718"
12,"2025-03-11","ADA","147","0","0","0","0.147822"
13,"2025-03-15","ADA","147","0","0","0.056195","8.694555"
14,"2025-03-20","ADA","147","0","0","0.072395","8.998048"
15,"2025-03-25","ADA","147","0","0","0.082115","8.634895"
16,"2025-03-30","ADA","147","0","0","0.056195","8.537383"
17,"2025-04-04","ADA","147","0","0","0.072395","8.596544"
18,"2025-04-05","ADA","147","0","0","0","0.146253"
19,"2025-04-09","ADA","147","0","0","0.082115","8.775153"
20,"2025-04-14","ADA","147","0","0","0.056195","8.332728"
21,"2025-04-15","ADA","147","0","0","0","0.149889"
22,"2025-04-19","ADA","147","0","0","0.065285","8.725048"
23,"2025-04-24","ADA","100","0","0","0.0725","8.399231"
24,"2025-04-25","ADA","100","0","0","0","0.147226"
25,"2025-04-29","ADA","100","0","0","0.046425","8.589458"
26,"2025-05-04","ADA","100","0","0","0.059335","8.887983"
27,"2025-05-09","ADA","100","0","0","0.06482","8.146003"
28,"2025-05-14","ADA","100","0","0","0","8.84226"
29,"2025-05-19","ADA","98","0","0","0.060835","8.602549"
30,"2025-05-24","ADA","98","0","0","0.07006","8.468249"
31,"2025-05-29","ADA","101","0","0","0.04888","8.396048"
32,"2025-06-03","ADA","104","0","0","0.061155","8.676561"
33,"2025-06-08","ADA","100","0","0","0.070125","8.210254"
34,"2025-06-09","ADA","89","0","0","0","0.14374"
35,"2025-06-13","ADA","107","0","0","0.04776","8.78299"
36,"2025-06-14","ADA","107","0","0","0","0.144623"
37,"2025-06-18","ADA","107","0","0","0.0611","8.607915"
38,"2025-06-23","ADA","83","0","0","0.07194","8.414771"
39,"2025-06-28","ADA","75","0","0","0.05036","8.410357"
40,"2025-06-29","ADA","75","0","0","0","0.146477"
41,"2025-07-03","ADA","73","0","0","0.069095","8.738758"
42,"2025-07-04","ADA","73","0","0","0","0.146427"
43,"2025-07-08","ADA","73","0","0","0.079135","8.736785"
44,"2025-07-09","ADA","73","0","0","0","0.144502"
45,"2025-07-13","ADA","73","0","0","0.054585","8.453481"
46,"2025-07-14","ADA","73","0","0","0","0.143522"
47,"2025-07-18","ADA","73","0","0","0.069265","8.347826"
48,"2025-07-19","ADA","73","0","0","0","0.14591"
49,"2025-07-23","ADA","73","0","0","0.07949","8.722699"
50,"2025-07-28","ADA","73","0","0","0.05276","8.358739"
51,"2025-07-29","ADA","73","0","0","0","0.13899"
52,"2025-08-02","ADA","113","0","0","0.071935","8.214522"
53,"2025-08-07","ADA","114","0","0","0.085195","8.592059"
54,"2025-08-12","ADA","114","0","0","0.05719","8.984193"
55,"2025-08-17","ADA","118","0","0","0.073065","8.306837"
56,"2025-08-22","ADA","118","0","0","0.081895","8.482869"
57,"2025-08-27","ADA","118","0","0","0.054635","8.551644"
58,"2025-09-01","ADA","118","0","0","0.069925","8.897184"
59,"2025-09-06","ADA","118","0","0","0.081005","8.597056"
60,"2025-09-11","ADA","121","0","0","0.055425","8.573751"
61,"2025-09-16","ADA","121","0","0","0.0546","8.211815"
62,"2025-02-10","ADA","154","0","0","0","0"
63,"2025-02-15","ETH","547,737","0","0","0","0"
64,"2025-02-19","ETH","547,737","0","0","0","0"
65,"2025-03-12","ETH","547,737","0","0","0","0"
66,"2025-03-16","ADA","147","0","0","0","0"
67,"2025-04-02","ADA","147","0","0","0","0"
68,"2025-04-13","ETH","547,737","0","0","0","0"
69,"2025-05-03","ADA","100","0","200","0","0"
70,"2025-05-05","ETH","227,355","0","0","0","0"
71,"2025-05-15","ETH","1,184,932","0","0","0","0"
72,"2025-05-21","ADA","98","0","0","0","0"
73,"2025-05-22","ETH","1,184,932","0","0","0","0"
74,"2025-06-10","ETH","1,184,932","0","0","0","0"
75,"2025-06-13","ETH","1,184,932","0","0","0","0"
76,"2025-06-14","ETH","1,184,932","0","0","0","0"
77,"2025-06-23","ETH","1,184,932","0","0","0","0"
78,"2025-07-12","ETH","360,903","0","0","0","0"
79,"2025-07-17","ADA","73","0","0","0","0"
80,"2025-07-24","ADA","73","0","0","0","0"
81,"2025-07-24","ETH","563,631","0","0","0","0"
82,"2025-08-05","ETH","556,068","0","0","0","0"
83,"2025-08-13","ETH","660,917","0","0","0","0"
84,"2025-08-31","ETH","675,078","0","0","0","0"
85,"2025-09-07","ADA","118","0","0","0","0"
86,"2025-09-25","ADA","121","0","0","0","0"
87,"2025-09-27","ETH","618,582","0","0","0","0"
88,"2025-10-10","ADA","121","0","0","0","0"
89,"2025-10-11","ADA","121","0","0","0.04742","8.634162"
90,"2025-11-20","ETH","472,559","0","0","0","0"
91,"2025-02-20","ETH","547,737","0","0","0","0"
92,"2025-02-22","ETH","547,737","0","0","0","0"
93,"2025-02-26","ADA","154","0","0","0","0"
94,"2025-03-27","ADA","147","0","0","0","0"
95,"2025-03-28","ETH","547,737","0","0","0","0"
96,"2025-04-11","ETH","547,737","0","0","0","0"
97,"2025-04-27","ETH","227,355","0","0","0","0"
98,"2025-04-28","ETH","227,355","0","0","0","0"
99,"2025-05-17","ADA","100","0","0","0","0"
100,"2025-06-02","ADA","104","0","0","0","0"
101,"2025-06-07","ETH","1,184,932","0","0","0","0"
102,"2025-06-20","ETH","1,184,932","0","0","0","0"
103,"2025-07-06","ADA","73","0","0","0","0"
104,"2025-07-10","ADA","73","0","0","0","0"
105,"2025-07-11","ETH","360,903","0","0","0","0"
106,"2025-07-12","ADA","73","0","0","0","0"
107,"2025-08-14","ADA","118","0","0","0","0"
108,"2025-08-20","ETH","631,994","0","0","0","0"
